Date,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée
2018-01-01,Grenoble,Paris Lyon,183,245,0,23,46.31449275,6.123741497
2018-01-01,Paris Lyon,Italie,394,94,0,22,55.68181818,11.60106383
2018-01-01,Marseille St Charles,Lyon Part Dieu,106,557,7,60,28.92,5.195333333
2018-01-01,Paris Nord,Dunkerque,116,271,3,29,28.68965517,3.73880597
2018-01-01,Annecy,Paris Lyon,224,198,0,38,37.24605263,8.552525253
2018-01-01,Toulouse Matabiau,Paris Montparnasse,257,184,0,26,40.11666667,7.510507246
2018-01-01,Reims,Paris Est,46,230,1,62,12.81747312,3.538937409
2018-01-01,Lyon Part Dieu,Marne La Vallee,109,316,3,64,37.121875,7.814643237
2018-01-01,Montpellier,Paris Lyon,206,340,2,58,44.75574713,7.465581854
2018-01-01,Francfort,Paris Est,224,177,3,26,25.86153846,6.438984674
2018-01-01,Aix En Provence Tgv,Paris Lyon,188,402,0,37,35.97432432,4.417205638
2018-01-01,Poitiers,Paris Montparnasse,94,472,4,89,14.59269663,4.882371795
2018-01-01,Douai,Paris Nord,77,197,3,37,21.4009009,5.046907216
2018-01-01,Lille,Paris Nord,63,579,9,101,22.20577558,4.229619883
2018-01-01,Lille,Marseille St Charles,307,190,4,35,44.1152381,9.938261649
2018-01-01,Macon Loche,Paris Lyon,99,225,1,49,26.26054422,6.021279762
2018-01-01,Paris Lyon,Marseille St Charles,202,482,2,43,41.65620155,5.045868056
2018-01-01,Bordeaux St Jean,Paris Montparnasse,141,870,5,147,28.43673469,6.511117534
2018-01-01,Barcelona,Paris Lyon,390,35,0,7,57.67619048,9.219047619
2018-01-01,Madrid,Marseille St Charles,481,16,1,3,20.27222222,7.255555556
2018-01-01,Le Mans,Paris Montparnasse,56,406,1,105,18.04904762,5.363539095
2018-01-01,St Malo,Paris Montparnasse,158,92,0,10,24.975,4.81576087
2018-01-01,Paris Lyon,Lausanne,222,151,2,20,33.67583333,6.025838926
2018-01-01,Paris Montparnasse,La Rochelle Ville,166,226,0,19,24.73684211,2.938053097
2018-01-01,Paris Montparnasse,Nantes,124,508,3,58,33.72643678,5.292211221
2018-01-01,Vannes,Paris Montparnasse,156,278,1,37,30.07207207,6.264019254
2018-01-01,Lyon Part Dieu,Lille,189,296,3,67,44.43731343,12.04897611
2018-01-01,Paris Lyon,Besancon Franche Comte Tgv,128,202,2,23,31.26884058,5.84925
2018-01-01,St Pierre Des Corps,Paris Montparnasse,61,410,1,114,13.04561404,4.359739201
2018-01-01,Tours,Paris Montparnasse,75,194,0,35,11.13142857,2.929295533
2018-01-01,Paris Vaugirard,Nantes,140,62,0,10,34.23166667,7.565591398
2018-01-01,Rennes,Paris Vaugirard,111,31,0,2,24.33333333,3.160752688
2018-01-01,Paris Est,Metz,84,310,0,24,11.88888889,0.76
2018-01-01,Paris Nord,Douai,69,192,2,30,19.24777778,2.288070175
2018-01-01,Perpignan,Paris Lyon,305,166,0,36,48.68425926,10.48413655
2018-01-01,Paris Vaugirard,Bordeaux St Jean,165,63,1,5,44.55,3.429569892
2018-01-01,Dijon Ville,Paris Lyon,98,451,7,42,28.48611111,2.398836336
2018-01-01,Paris Lyon,Perpignan,308,145,0,23,39.61884058,8.224597701
2018-01-01,Paris Montparnasse,Vannes,152,253,1,39,40.30769231,7.77281746
2018-01-01,Paris Lyon,Avignon Tgv,159,462,0,64,31.44114583,5.880880231
2018-01-01,Valence Alixan Tgv,Paris Lyon,132,280,2,48,39.12465278,5.893585132
2018-01-01,Stuttgart,Paris Est,185,154,5,12,34.57777778,4.045525727
2018-01-01,Paris Montparnasse,Laval,84,217,0,66,15.13434343,5.82281106
2018-01-01,Marseille St Charles,Paris Lyon,202,431,0,40,35.71166667,4.270301624
2018-01-01,Besancon Franche Comte Tgv,Paris Lyon,131,205,3,15,25.29444444,1.401320132
2018-01-01,Paris Lyon,Chambery Challes Les Eaux,186,271,0,36,39.0712963,5.813653137
2018-01-01,Le Creusot Montceau Montchanin,Paris Lyon,81,224,1,45,21.40037037,3.624588939
2018-01-01,Marne La Vallee,Lyon Part Dieu,109,335,9,59,45.52118644,8.487218814
2018-01-01,Paris Lyon,Nice Ville,349,196,2,25,48.57733333,7.979810997
2018-01-01,Paris Montparnasse,Angers Saint Laud,90,385,3,52,19.84358974,4.24943281
2018-01-01,Rennes,Paris Montparnasse,99,599,4,148,18.50022523,5.850420168
2018-01-01,Nancy,Paris Est,93,306,1,33,15.96212121,1.192568306
2018-01-01,Paris Lyon,Grenoble,180,262,0,40,34.38666667,6.618193384
2018-01-01,Italie,Paris Lyon,439,95,1,34,41.40931373,17.09184397
2018-01-01,Paris Lyon,Montpellier,209,294,0,37,39.01036036,4.363038549
2018-01-01,Paris Montparnasse,Quimper,220,248,1,26,55.69230769,7.578947368
2018-01-01,Nantes,Strasbourg,303,39,0,5,32.98666667,5.741025641
2018-01-01,Bordeaux St Jean,Tourcoing,301,31,0,3,43.33333333,6.548387097
2018-01-01,Paris Montparnasse,Angouleme,126,239,4,28,18.02202381,4.113191489
2018-01-01,Paris Est,Reims,45,218,1,21,12.04126984,1.435560676
2018-01-01,Lausanne,Paris Lyon,219,144,3,21,30.35238095,4.70248227
2018-01-01,Metz,Paris Est,85,307,1,64,14.51614583,3.320098039
2018-01-01,Paris Nord,Lille,64,568,5,97,21.02491409,4.133274127
2018-01-01,Lyon Part Dieu,Rennes,232,88,2,20,36.05,10.8255814
2018-01-01,Paris Montparnasse,Brest,223,281,1,19,46.57894737,4.860714286
2018-01-01,Paris Lyon,Bellegarde (Ain),160,231,2,64,36.38802083,11.86091703
2018-01-01,Paris Montparnasse,St Pierre Des Corps,61,391,2,71,12.40516432,3.346486718
2018-01-01,Lille,Lyon Part Dieu,190,292,8,36,56.1587963,7.582805164
2018-01-01,Nice Ville,Paris Lyon,346,197,0,33,46.82525253,8.570981387
2018-01-01,Paris Lyon,Zurich,241,153,3,28,34.30357143,7.782444444
2018-01-01,Paris Montparnasse,Tours,72,186,0,48,12.23125,4.334856631
2018-01-01,Nantes,Paris Vaugirard,143,62,0,6,47.28055556,5.310215054
2018-01-01,Paris Lyon,Barcelona,387,62,0,8,49.5,8.548387097
2018-01-01,Paris Lyon,Nimes,177,294,0,54,31.90154321,6.489739229
2018-01-01,Saint Etienne Chateaucreux,Paris Lyon,168,118,0,13,30.64358974,4.12019774
2018-01-01,Marseille St Charles,Lille,307,187,2,37,45.59459459,10.79558559
2018-01-01,Lyon Part Dieu,Paris Lyon,120,659,3,85,26.8054902,4.030614837
2018-01-01,Avignon Tgv,Paris Lyon,159,538,0,88,31.96856061,5.797924411
2018-01-01,La Rochelle Ville,Paris Montparnasse,165,222,0,34,21.52401961,5.696096096
2018-01-01,Paris Montparnasse,St Malo,156,102,0,13,48.62307692,6.790686275
2018-01-01,Quimper,Paris Montparnasse,223,256,1,21,39.0952381,5.940849673
2018-01-01,Rennes,Lyon Part Dieu,233,99,0,6,40.05833333,2.244612795
2018-01-01,Paris Est,Strasbourg,112,494,9,14,27.3,0.77814433
2018-01-01,Strasbourg,Paris Est,112,507,7,46,24.83876812,2.675233333
2018-01-01,Mulhouse Ville,Paris Lyon,168,328,8,24,34.37361111,2.280208333
2018-01-01,Geneve,Paris Lyon,194,230,1,36,40.26990741,7.178238719
2018-01-01,Brest,Paris Montparnasse,225,284,3,19,39.18333333,5.389501779
2018-01-01,Montpellier,Lyon Part Dieu,112,299,6,62,31.8483871,9.1221843
2018-01-01,Paris Est,Stuttgart,186,155,4,15,33.31,5.728366446
2018-01-01,Paris Lyon,Dijon Ville,96,468,6,40,31.12083333,3.146212121
2018-01-01,Lyon Part Dieu,Montpellier,112,303,5,49,38.8292517,6.859731544
2018-01-01,Paris Lyon,Mulhouse Ville,168,299,5,49,31.26462585,6.390646259
2018-01-01,Paris Lyon,Valence Alixan Tgv,130,323,0,44,33.97272727,5.24122807
2018-01-01,Paris Montparnasse,Bordeaux St Jean,143,775,7,79,25.47911392,2.546961806
2018-01-01,Paris Montparnasse,Rennes,97,590,1,107,21.10280374,4.968336163
2018-01-01,Angouleme,Paris Montparnasse,125,270,4,56,21.19821429,6.464974937
2018-01-01,Nantes,Paris Montparnasse,128,525,3,84,33.48115079,7.225734355
2018-01-01,Paris Montparnasse,Toulouse Matabiau,257,182,1,21,57.18095238,6.779558011
2018-01-01,Angers Saint Laud,Paris Montparnasse,91,393,2,77,24.27424242,6.0728474
2018-01-01,Paris Est,Nancy,94,299,3,13,17.36153846,1.024155405
2018-01-01,Nimes,Paris Lyon,176,341,2,72,39.94976852,7.793854474
2018-01-01,Paris Lyon,Le Creusot Montceau Montchanin,78,208,0,36,17.18009259,4.026282051
2018-01-01,Paris Lyon,Aix En Provence Tgv,186,424,0,47,36.9464539,4.340880503
2018-01-01,Paris Lyon,Annecy,225,199,1,21,41.0952381,7.090909091
2018-01-01,Paris Lyon,Saint Etienne Chateaucreux,168,112,0,21,25.95952381,5.868154762
2018-01-01,Paris Lyon,Toulon,239,221,2,30,41.18388889,7.635159817
2018-01-01,Paris Lyon,Geneve,194,207,0,35,46.34809524,7.602495974
2018-01-01,Marseille St Charles,Tourcoing,299,31,0,3,88.33333333,11.32258065
2018-01-01,Paris Est,Francfort,226,177,2,20,29.3,7.836380952
2018-01-01,Tourcoing,Marseille St Charles,309,31,1,1,58.88333333,2.345
2018-01-01,Marne La Vallee,Marseille St Charles,217,323,6,49,44.03129252,8.152208202
2018-01-01,Laval,Paris Montparnasse,86,208,0,55,16.56909091,5.044791667
2018-01-01,Arras,Paris Nord,51,312,4,64,22.25078125,5.351785714
2018-01-01,Paris Lyon,Macon Loche,95,227,1,27,33.24382716,4.591814159
2018-01-01,Paris Vaugirard,Rennes,122,31,0,2,25.5,1.774193548
2018-01-01,Marseille St Charles,Marne La Vallee,214,312,2,46,43.54166667,6.862311828
2018-01-01,Paris Montparnasse,Le Mans,54,441,2,65,16.90461538,2.997570235
2018-01-01,Lyon Part Dieu,Marseille St Charles,107,539,7,114,39.73888889,9.378195489
2018-01-01,Dunkerque,Paris Nord,116,245,1,28,28.92559524,4.737363388
2018-01-01,Tourcoing,Bordeaux St Jean,286,31,0,7,47.86428571,12.04408602
2018-01-01,Chambery Challes Les Eaux,Paris Lyon,184,278,1,69,38.49082126,10.27063779
2018-01-01,Paris Lyon,Lyon Part Dieu,119,630,1,61,30.51311475,2.824933757
2018-01-01,Paris Montparnasse,Poitiers,93,506,4,52,13.4849359,2.716932271
2018-01-01,Strasbourg,Nantes,286,40,1,5,46.75333333,8.574786325
2018-01-01,Bellegarde (Ain),Paris Lyon,162,259,3,53,34.96918239,7.531966146
2018-01-01,Toulon,Paris Lyon,241,273,0,42,42.43055556,7.002319902
2018-01-01,Paris Nord,Arras,51,287,5,40,17.36916667,2.908333333
2018-01-01,Zurich,Paris Lyon,176,122,3,8,36.81458333,2.390616246
2018-01-01,Bordeaux St Jean,Paris Vaugirard,144,62,0,9,45.39259259,6.180913978
2018-01-01,Marseille St Charles,Madrid,464,15,0,3,28.0,3.2
2018-02-01,Paris Montparnasse,Quimper,221,237,11,49,51.06122449,12.84513274
2018-02-01,Paris Est,Stuttgart,187,137,3,38,36.17192982,13.2960199
2018-02-01,Paris Est,Metz,84,275,8,64,23.0171875,5.581835206
2018-02-01,Paris Vaugirard,Bordeaux St Jean,164,54,1,11,49.21363636,10.19308176
2018-02-01,Paris Lyon,Mulhouse Ville,168,262,2,27,27.67716049,4.155641026
2018-02-01,Rennes,Lyon Part Dieu,234,83,0,16,60.34895833,12.41646586
2018-02-01,Quimper,Paris Montparnasse,222,220,7,44,49.8719697,13.12488263
2018-02-01,Strasbourg,Paris Est,112,455,5,122,28.40204918,9.013666667
2018-02-01,Tours,Paris Montparnasse,75,177,10,53,25.25251572,8.877744511
2018-02-01,Bordeaux St Jean,Tourcoing,301,28,0,10,82.2,31.21428571
2018-02-01,Aix En Provence Tgv,Paris Lyon,188,356,0,40,33.83583333,5.652808989
2018-02-01,Lausanne,Paris Lyon,220,128,0,11,47.39848485,4.809895833
2018-02-01,Nancy,Paris Est,93,276,3,57,23.80263158,6.326923077
2018-02-01,Dunkerque,Paris Nord,116,228,5,37,28.46486486,6.785127055
2018-02-01,Lyon Part Dieu,Lille,192,265,2,85,34.69823529,13.42636248
2018-02-01,Paris Lyon,Aix En Provence Tgv,186,398,3,48,31.23715278,5.201392405
2018-02-01,Paris Montparnasse,Rennes,98,547,32,156,34.35,11.62252427
2018-02-01,Rennes,Paris Montparnasse,98,567,27,210,31.12261905,13.30638889
2018-02-01,Marseille St Charles,Lille,309,167,2,50,35.56533333,12.93
2018-02-01,Paris Lyon,Lyon Part Dieu,119,583,1,59,24.07683616,2.48382016
2018-02-01,Rennes,Paris Vaugirard,111,27,0,5,60.14666667,12.80432099
2018-02-01,Macon Loche,Paris Lyon,99,205,0,60,21.08194444,6.982764228
2018-02-01,Metz,Paris Est,85,275,2,113,19.01386431,8.521001221
2018-02-01,Lille,Marseille St Charles,306,168,2,39,32.34957265,10.36375502
2018-02-01,Montpellier,Lyon Part Dieu,112,259,1,73,28.45068493,10.74147287
2018-02-01,Mulhouse Ville,Paris Lyon,169,294,2,19,26.45877193,1.648344749
2018-02-01,Paris Lyon,Le Creusot Montceau Montchanin,78,188,0,43,14.46976744,4.270478723
2018-02-01,Toulouse Matabiau,Paris Montparnasse,257,168,3,40,55.19041667,15.96111111
2018-02-01,Nantes,Strasbourg,303,36,0,9,61.69814815,16.51990741
2018-02-01,Toulon,Paris Lyon,241,247,2,33,34.42272727,5.748027211
2018-02-01,Paris Montparnasse,Tours,72,171,12,53,38.93018868,14.03322851
2018-02-01,Paris Lyon,Lausanne,223,135,0,11,42.95151515,5.202469136
2018-02-01,Lille,Lyon Part Dieu,189,279,4,44,32.95681818,6.876848485
2018-02-01,Paris Est,Nancy,94,268,4,38,25.52280702,6.342866162
2018-02-01,Paris Lyon,Toulon,239,200,5,42,35.63611111,12.39162393
2018-02-01,Paris Lyon,Macon Loche,95,205,0,30,23.73166667,4.487235772
2018-02-01,Paris Lyon,Barcelona,387,56,0,12,43.58333333,11.5
2018-02-01,Paris Vaugirard,Rennes,122,27,0,1,58.0,2.666666667
2018-02-01,Paris Est,Francfort,226,120,3,33,39.91414141,15.23504274
2018-02-01,Paris Montparnasse,Nantes,124,465,22,89,47.98483146,10.81963883
2018-02-01,Paris Nord,Lille,68,570,16,168,28.45922619,9.378309266
2018-02-01,Annecy,Paris Lyon,224,181,0,42,25.59880952,7.669521179
2018-02-01,Paris Lyon,Avignon Tgv,159,433,1,67,29.86069652,6.082330247
2018-02-01,Barcelona,Paris Lyon,390,56,0,11,38.59090909,7.836309524
2018-02-01,Paris Montparnasse,Le Mans,55,401,14,95,34.43421053,8.832687339
2018-02-01,Paris Montparnasse,Poitiers,93,459,16,103,38.98300971,11.08886381
2018-02-01,Paris Montparnasse,St Malo,154,92,3,18,54.18611111,11.41029963
2018-02-01,Marseille St Charles,Marne La Vallee,214,282,3,52,42.76602564,9.092353644
2018-02-01,Perpignan,Paris Lyon,305,160,0,31,32.71290323,7.116458333
2018-02-01,Italie,Paris Lyon,440,85,0,23,24.13768116,8.891568627
2018-02-01,Paris Montparnasse,Angouleme,126,215,10,58,35.76436782,11.9001626
2018-02-01,Paris Est,Reims,45,198,2,53,21.69968553,6.272108844
2018-02-01,St Malo,Paris Montparnasse,159,84,2,20,40.88833333,11.55
2018-02-01,Lille,Paris Nord,64,578,12,176,21.62253788,7.263221437
2018-02-01,Bordeaux St Jean,Paris Vaugirard,144,55,0,12,63.57777778,13.79181818
2018-02-01,Nantes,Paris Vaugirard,143,55,0,7,75.55952381,9.952424242
2018-02-01,Paris Montparnasse,Laval,84,196,7,51,36.4120915,10.85617284
2018-02-01,Paris Nord,Arras,55,295,19,74,24.62342342,7.475603865
2018-02-01,Paris Nord,Dunkerque,120,256,13,48,38.5,8.205761317
2018-02-01,Paris Lyon,Zurich,243,135,0,15,34.13444444,5.693580247
2018-02-01,Grenoble,Paris Lyon,182,227,0,35,28.08666667,6.905873715
2018-02-01,Marne La Vallee,Lyon Part Dieu,109,333,4,70,32.78619048,7.996605876
2018-02-01,Paris Lyon,Grenoble,180,246,0,33,25.81818182,6.266260163
2018-02-01,Stuttgart,Paris Est,188,136,3,36,33.69768519,11.67656642
2018-02-01,Angers Saint Laud,Paris Montparnasse,91,352,11,110,35.76893939,12.92189638
2018-02-01,Strasbourg,Nantes,287,36,0,11,39.61060606,12.59583333
2018-02-01,Marseille St Charles,Madrid,464,27,0,4,23.75,0.814814815
2018-02-01,Brest,Paris Montparnasse,227,252,8,51,49.8996732,13.35362022
2018-02-01,La Rochelle Ville,Paris Montparnasse,165,200,7,55,44.19,14.86502591
2018-02-01,Bordeaux St Jean,Paris Montparnasse,140,824,62,199,41.85938023,12.86675416
2018-02-01,Paris Montparnasse,Brest,222,256,10,50,52.04,12.08943089
2018-02-01,Douai,Paris Nord,77,193,6,56,16.52529762,6.046702317
2018-02-01,Paris Vaugirard,Nantes,140,55,0,9,34.04444444,6.582424242
2018-02-01,Dijon Ville,Paris Lyon,99,409,2,30,35.65166667,3.157411957
2018-02-01,Saint Etienne Chateaucreux,Paris Lyon,168,101,2,14,17.43214286,3.110942761
2018-02-01,Geneve,Paris Lyon,194,208,0,15,40.28111111,4.427323718
2018-02-01,Nantes,Paris Montparnasse,128,470,15,118,41.24632768,12.66564103
2018-02-01,Paris Montparnasse,Angers Saint Laud,90,351,13,70,45.05380952,10.66686391
2018-02-01,Paris Montparnasse,Vannes,153,244,11,64,40.96875,13.07725322
2018-02-01,Paris Lyon,Bellegarde (Ain),161,209,0,32,20.18020833,5.201674641
2018-02-01,Paris Lyon,Italie,431,85,0,10,37.7,3.911764706
2018-02-01,Lyon Part Dieu,Paris Lyon,120,604,5,81,23.11440329,3.63049527
2018-02-01,Lyon Part Dieu,Rennes,233,86,1,27,35.2962963,13.10588235
2018-02-01,Paris Montparnasse,St Pierre Des Corps,61,360,24,100,32.9395,10.67584325
2018-02-01,Paris Lyon,Montpellier,209,269,1,34,34.56617647,4.1664801
2018-02-01,Paris Lyon,Nimes,177,269,1,53,26.64245283,5.992537313
2018-02-01,Paris Montparnasse,Bordeaux St Jean,144,698,46,157,41.85435244,10.11359918
2018-02-01,Zurich,Paris Lyon,177,108,0,5,40.79333333,2.087808642
2018-02-01,Laval,Paris Montparnasse,86,187,7,70,24.21142857,10.10574074
2018-02-01,Tourcoing,Bordeaux St Jean,286,28,0,6,64.13611111,15.09702381
2018-02-01,Montpellier,Paris Lyon,206,317,0,52,34.94166667,6.593953733
2018-02-01,Marseille St Charles,Paris Lyon,202,388,0,43,33.46317829,5.427276632
2018-02-01,Paris Lyon,Dijon Ville,99,430,2,19,39.77807018,2.527180685
2018-02-01,Valence Alixan Tgv,Paris Lyon,132,263,0,60,29.49444444,6.725158428
2018-02-01,Nice Ville,Paris Lyon,346,175,2,22,32.43333333,5.02283237
2018-02-01,Paris Lyon,Besancon Franche Comte Tgv,128,181,2,14,29.025,3.660800745
2018-02-01,St Pierre Des Corps,Paris Montparnasse,61,390,23,147,25.74727891,11.05154405
2018-02-01,Arras,Paris Nord,51,333,15,103,15.7566343,5.872169811
2018-02-01,Angouleme,Paris Montparnasse,125,256,24,68,42.02867647,14.49425287
2018-02-01,Marseille St Charles,Tourcoing,302,28,1,4,51.5,9.555555556
2018-02-01,Paris Nord,Douai,74,191,5,42,30.33531746,6.528763441
2018-02-01,Avignon Tgv,Paris Lyon,159,477,2,91,24.94157509,5.520210526
2018-02-01,Lyon Part Dieu,Marseille St Charles,107,498,3,134,33.18022388,10.24498316
2018-02-01,Paris Lyon,Nice Ville,349,182,3,30,43.19555556,9.031564246
2018-02-01,Paris Montparnasse,Toulouse Matabiau,257,155,2,39,51.13290598,13.47647059
2018-02-01,Madrid,Marseille St Charles,481,27,0,5,30.84333333,8.464814815
2018-02-01,Reims,Paris Est,46,206,2,85,18.53803922,8.668627451
2018-02-01,Lyon Part Dieu,Montpellier,112,286,6,40,22.09958333,3.364702381
2018-02-01,Poitiers,Paris Montparnasse,94,456,38,129,32.79534884,13.02838915
2018-02-01,Paris Lyon,Annecy,227,183,0,30,42.7,9.5
2018-02-01,Francfort,Paris Est,217,120,2,57,45.7245614,23.98728814
2018-02-01,Bellegarde (Ain),Paris Lyon,162,233,0,30,33.89944444,5.082546495
2018-02-01,Paris Est,Strasbourg,112,448,14,95,31.17701754,7.339208909
2018-02-01,Tourcoing,Marseille St Charles,309,28,1,6,25.43055556,6.322222222
2018-02-01,Besancon Franche Comte Tgv,Paris Lyon,131,186,2,12,20.83055556,1.17173913
2018-02-01,Le Creusot Montceau Montchanin,Paris Lyon,81,199,0,39,17.09401709,2.841122278
2018-02-01,Nimes,Paris Lyon,176,318,0,71,28.99694836,6.626310273
2018-02-01,Paris Lyon,Chambery Challes Les Eaux,193,294,0,42,30.46111111,4.786451247
2018-02-01,Paris Lyon,Marseille St Charles,201,441,4,50,31.55166667,5.576659039
2018-02-01,Paris Lyon,Valence Alixan Tgv,130,292,1,50,25.06566667,5.123081329
2018-02-01,Paris Lyon,Perpignan,308,136,1,24,40.83194444,8.791358025
2018-02-01,Vannes,Paris Montparnasse,155,243,9,73,38.41575342,13.76894587
2018-02-01,Le Mans,Paris Montparnasse,56,373,15,150,25.88455556,11.4570298
2018-02-01,Chambery Challes Les Eaux,Paris Lyon,187,282,0,73,24.67260274,7.19391253
